,action1,action2,action3,action4,action5,reward1,reward2,reward3,reward4,reward5,total_reward
10,"[0.9390143752098083, 0.060985635966062546]","[0.9998714923858643, 0.0001285086473217234]","[0.999941349029541, 5.869198139407672e-05]","[0.9999570846557617, 4.2957355617545545e-05]","[0.9999622106552124, 3.780198312597349e-05]",31.71,0.05,-0.23,-0.22,0.19,31.50
11,"[0.9404870867729187, 0.05951286107301712]","[0.9998775720596313, 0.0001224323350470513]","[0.9999439716339111, 5.597954441327602e-05]","[0.9999589920043945, 4.102891398360953e-05]","[0.9999638795852661, 3.61400016117841e-05]",34.83,-0.25,-0.25,0.12,0.17,34.64
12,"[0.9418229460716248, 0.05817706510424614]","[0.9998829364776611, 0.00011706079385476187]","[0.9999464750289917, 5.357939880923368e-05]","[0.9999606609344482, 3.932008257834241e-05]","[0.9999653100967407, 3.466577618382871e-05]",34.21,0.15,0.11,0.18,-0.26,34.38
13,"[0.9430367350578308, 0.056963201612234116]","[0.9998877048492432, 0.00011229212395846844]","[0.9999485015869141, 5.144662645761855e-05]","[0.9999622106552124, 3.77996766474098e-05]","[0.9999666213989258, 3.335274232085794e-05]",37.79,-0.20,0.25,-0.14,0.14,37.83
14,"[0.9441417455673218, 0.05585817992687225]","[0.999891996383667, 0.00010804224439198151]","[0.9999504089355469, 4.9544061766937375e-05]","[0.9999635219573975, 3.644171738415025e-05]","[0.9999678134918213, 3.2178919354919344e-05]",37.50,-0.08,0.13,0.01,0.25,37.82
15,"[0.9451496005058289, 0.05485043302178383]","[0.9998956918716431, 0.00010424054926261306]","[0.9999521970748901, 4.7840560000622645e-05]","[0.9999648332595825, 3.522439510561526e-05]","[0.9999688863754272, 3.112580088782124e-05]",42.03,-0.05,0.24,-0.04,0.16,42.33
16,"[0.9460702538490295, 0.05392972752451897]","[0.99989914894104, 0.00010082748485729098]","[0.9999537467956543, 4.630973489838652e-05]","[0.9999659061431885, 3.412933074287139e-05]","[0.9999698400497437, 3.0177714506862685e-05]",45.92,-0.06,0.20,0.08,0.21,46.35
17,"[0.946912944316864, 0.05308704450726509]","[0.9999022483825684, 9.775296348379925e-05]","[0.9999550580978394, 4.492940570344217e-05]","[0.9999668598175049, 3.314097921247594e-05]","[0.9999706745147705, 2.9321350666577928e-05]",44.54,-0.30,0.11,0.27,0.20,44.81
18,"[0.9476855397224426, 0.05231444537639618]","[0.999904990196228, 9.497428982285783e-05]","[0.9999563694000244, 4.36808550148271e-05]","[0.9999676942825317, 3.224604370188899e-05]","[0.9999715089797974, 2.8545478926389478e-05]",41.60,-0.25,0.20,0.11,-0.07,41.61
19,"[0.9483952522277832, 0.05160481482744217]","[0.9999074935913086, 9.24548803595826e-05]","[0.9999574422836304, 4.2547697375994176e-05]","[0.9999685287475586, 3.143315916531719e-05]","[0.9999721050262451, 2.7840264010592364e-05]",42.63,-0.14,-0.14,-0.21,-0.12,42.01
