,action1,action2,action3,action4,action5,reward1,reward2,reward3,reward4,reward5,total_reward
10,"[0.9598399996757507, 0.04016001895070076]","[0.9999451637268066, 5.484474604600109e-05]","[0.9999746084213257, 2.5394014301127754e-05]","[0.9999810457229614, 1.9008606614079326e-05]","[0.9999829530715942, 1.7003136235871352e-05]",59.26,0.10,0.03,-0.10,0.14,59.42
11,"[0.9599506258964539, 0.04004944860935211]","[0.9999455213546753, 5.450823300634511e-05]","[0.9999747276306152, 2.5238219677703455e-05]","[0.9999810457229614, 1.8894526874646544e-05]","[0.9999830722808838, 1.6902964489418082e-05]",56.57,-0.06,-0.27,-0.06,-0.07,56.11
12,"[0.9600604772567749, 0.039939526468515396]","[0.999945878982544, 5.417491775006056e-05]","[0.9999749660491943, 2.508386387489736e-05]","[0.999981164932251, 1.878145667433273e-05]","[0.9999831914901733, 1.6803685866761953e-05]",55.63,-0.13,-0.14,-0.03,0.26,55.59
13,"[0.960169792175293, 0.039830222725868225]","[0.999946117401123, 5.3844407375436276e-05]","[0.9999750852584839, 2.493085412424989e-05]","[0.9999812841415405, 1.8669381461222656e-05]","[0.9999833106994629, 1.6705229427316226e-05]",63.08,-0.16,-0.02,0.12,-0.09,62.93
14,"[0.9602785110473633, 0.039721496403217316]","[0.9999464750289917, 5.351678919396363e-05]","[0.9999752044677734, 2.477915222698357e-05]","[0.9999814033508301, 1.855822301877197e-05]","[0.9999834299087524, 1.660763518884778e-05]",61.56,-0.31,-0.23,-0.18,-0.07,60.78
15,"[0.9603866934776306, 0.039613332599401474]","[0.9999468326568604, 5.3191975894151255e-05]","[0.999975323677063, 2.4628752726130188e-05]","[0.9999815225601196, 1.8448010450811125e-05]","[0.9999834299087524, 1.651081402087584e-05]",57.37,-0.13,0.13,-0.04,0.16,57.48
16,"[0.960494339466095, 0.03950570151209831]","[0.9999470710754395, 5.286982923280448e-05]","[0.9999755620956421, 2.447957194817718e-05]","[0.9999816417694092, 1.8338678273721598e-05]","[0.999983549118042, 1.6414764104411006e-05]",62.87,-0.18,-0.17,-0.21,-0.09,62.21
17,"[0.9606014490127563, 0.03939858078956604]","[0.9999474287033081, 5.255029464024119e-05]","[0.9999756813049316, 2.4331638996955007e-05]","[0.9999817609786987, 1.823023740143981e-05]","[0.9999836683273315, 1.631947270652745e-05]",60.27,0.19,0.23,0.09,-0.17,60.61
18,"[0.9607080817222595, 0.039291929453611374]","[0.9999477863311768, 5.2233335736673325e-05]","[0.9999758005142212, 2.4184830181184225e-05]","[0.9999818801879883, 1.8122591427527368e-05]","[0.9999837875366211, 1.6224874343606643e-05]",60.20,0.07,0.08,0.02,-0.11,60.26
19,"[0.9608142375946045, 0.03918575868010521]","[0.9999480247497559, 5.1918683311669156e-05]","[0.9999759197235107, 2.4039183699642308e-05]","[0.9999819993972778, 1.801577309379354e-05]","[0.9999839067459106, 1.6130994481500238e-05]",58.58,-0.22,-0.02,-0.05,0.02,58.32
